"Household ID","Walk"
"518530713","AE1-2"
"518661892","AE1-2"
"518763143","AE1-2"
"526482647","AF1-1"
"518818575","AF1-1"
"519499868","AF1-1"
"519587613","AF1-1"
"519659952","AF1-1"
"519712915","AF1-1"
"518967442","AF1-1"
"518986706","AF1-1"
"519100089","AF1-1"
"519126282","AF1-1"
"519180898","AF1-1"
"519263305","AF1-1"
"519272337","AF1-1"
"519776666","AF1-1"
"520338485","AF1-1"
"520427229","AF1-1"
"520514033","AF1-1"
"520696103","AF1-1"
"520831873","AF1-1"
"519778310","AF1-1"
"519822524","AF1-1"
"519864269","AF1-1"
"519978492","AF1-1"
"520034367","AF1-1"
"520142710","AF1-1"
"520233279","AF1-1"
"520315223","AF1-1"
"521783264","AF1-1"
"521919579","AF1-1"
"521945072","AF1-1"
"521984169","AF1-1"
"522021945","AF1-1"
"522073828","AF1-1"
"522074392","AF1-1"
"522077817","AF1-1"
"522271424","AF1-1"
"522342546","AF1-1"
"522355915","AF1-1"
"522411750","AF1-1"
"522534367","AF1-1"
"522587647","AF1-1"
"522736021","AF1-1"
"522806091","AF1-1"
"522867365","AF1-1"
"522928254","AF1-1"
"523080818","AF1-1"
"523174857","AF1-1"
"523178756","AF1-1"
"524500388","AF1-1"
"524215457","AF1-1"
"524314160","AF1-1"
"524354086","AF1-1"
"524436166","AF1-1"
"524490100","AF1-1"
"524491669","AF1-1"
"528901930","AF1-1"
"529100072","AF1-1"
"529118337","AF1-1"
"529193780","AF1-1"
"529249769","AF1-1"
"529258390","AF1-1"
"529278206","AF1-1"
"529304285","AF1-1"
"529524509","AF1-1"
"528951956","AF1-1"
"528967556","AF1-1"
"528973847","AF1-1"
"528986089","AF1-1"
"529010027","AF1-1"
"529066634","AF1-1"
"529604244","AF1-1"
"529688512","AF1-1"
"529811582","AF1-1"
"529898254","AF1-1"
"529902449","AF1-1"
"529973311","AF1-1"
"530018406","AF1-1"
"530031722","AF1-1"
"523221774","AF1-1"
"523225646","AF1-1"
"534894240","AF1-1"
"532389816","AF1-1"
"532737906","AF1-1"
"531647397","AF1-1"
"531779871","AF1-1"
"531939981","AF1-1"
"531959160","AF1-1"
"532093182","AF1-1"
"532118774","AF1-1"
"532188416","AF1-1"
"532214573","AF1-1"
"530505748","AF1-1"
"530807168","AF1-1"
"531066708","AF1-1"
"531165843","AF1-1"
"531328646","AF1-1"
"531401903","AF1-1"
"531437493","AF1-1"
"531498420","AF1-1"
"531500778","AF1-1"
"530529355","AF1-1"
"530588550","AF1-1"
"530618615","AF1-1"
"530648635","AF1-1"
"530951728","AF1-1"
"535066422","AF1-1"
"535130121","AF1-1"
"535187397","AF1-1"
"535194558","AF1-1"
"535226387","AF1-1"
"532286592","AF1-1"
"538106052","AF1-1"
"535240913","AF1-1"
"530056324","AF1-1"
"535335488","AF1-1"
"535547548","AF1-1"
"535629792","AF1-1"
"532052156","AF1-1"
"535787226","AF1-1"
"526445554","AF1-1"
"527038096","AF1-1"
"527871404","AF1-1"
"532854406","AF1-1"
"533425535","AF1-1"
"533939328","AF1-1"
"533948312","AF1-1"
"534100510","AF1-1"
"534259167","AF1-1"
"534391201","AF1-1"
"534679689","AF1-1"
"523285384","AF1-1"
"532370757","AF1-2"
"532592171","AF1-2"
"532759524","AF1-2"
"537139242","AF1-2"
"537187540","AF1-2"
"534647543","AF1-2"
"533369101","AF1-2"
"532651100","AF1-2"
"532835820","AF1-2"
"534828117","AF1-2"
"527890223","AF1-2"
"528143159","AF1-2"
"522546145","AF1-2"
"523057781","AF1-2"
"525004702","AF1-2"
"526372579","AF1-2"
"526382394","AF1-2"
"528421061","AF1-2"
"528811158","AF1-2"
"528825441","AF1-2"
"528897518","AF1-2"
"528524205","AF1-2"
"528592294","AF1-2"
"528621840","AF1-2"
"528642979","AF1-2"
"528650461","AF1-2"
"528730127","AF1-2"
"533016663","AF1-2"
"524198691","AF1-2"
"530124486","AF1-2"
"530313620","AF1-2"
"530385371","AF1-2"
"537188374","AF1-2"
"531925010","AF1-2"
"537867658","AF1-2"
"537910543","AF1-2"
"538061704","AF1-2"
"521627221","AF1-2"
"520865715","AF1-2"
"520985337","AF1-2"
"521080591","AF1-2"
"521290748","AF1-2"
"521414562","AF1-2"
"521418782","AF1-2"
"521591672","AF1-2"
"521631571","AF1-2"
